run_date,match_date,league,home_team,away_team,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,p_raw,market,model_probability,offered_odds,fair_odds,effective_odds,odds_source,implied_probability,edge,variance,variance_class,upset_frequency,recommended
2026-04-05,2026-04-05,D1,union berlin,st. pauli,0.9957595367208654,0.8256899277607876,0.3716848770542779,0.34896836900779965,0.27934675393792247,0.6283151229457221,X2,0.6686540467257612,,1.4955416854152914,,missing,,,0.23734375,HIGH,0.3875,False
2026-04-05,2026-04-05T13:30:00+00:00,D1,union berlin,fc st. pauli,0.9957595367208654,0.8256899277607876,0.3716848770542779,0.34896836900779965,0.27934675393792247,0.6283151229457221,X2,0.6686540467257612,,1.4955416854152914,,missing,,,0.23734375,HIGH,0.3875,False
2026-04-05,2026-04-05,N1,fc volendam,feyenoord,1.1658850654610102,1.3172553833297687,0.30311542805116914,0.32166013753445,0.3752244344143809,0.6247755655856191,1X,0.6685290965317366,2.75,1.495821206867288,2.75,market,0.36363636363636365,0.304892732895373,0.2396652444,HIGH,0.39834,False
2026-04-05,2026-04-05,D2,greuther furth,paderborn,1.5822998860717896,1.863627782858158,0.3120668168325196,0.2613196735466336,0.42661350962084676,0.6879331831674804,X2,0.6675118851092847,,1.4981006665316237,,missing,,,0.2215335616,HIGH,0.33128,False
2026-04-05,2026-04-05T11:30:00+00:00,D2,spvgg greuther fürth,sc paderborn 07,1.5822998860717896,1.863627782858158,0.3120668168325196,0.2613196735466336,0.42661350962084676,0.6879331831674804,X2,0.6675118851092847,,1.4981006665316237,,missing,,,0.2215335616,HIGH,0.33128,False
2026-04-05,2026-04-05,D2,braunschweig,nurnberg,1.2906152600200707,1.330703492685973,0.3342672227340299,0.3128100705018066,0.35292270676416354,0.6470772932358365,1X,0.6606703222781215,,1.5136142282762193,,missing,,,0.2344349424,HIGH,0.37524,False
2026-04-05,2026-04-05T11:30:00+00:00,D2,eintracht braunschweig,1. fc nürnberg,1.2906152600200707,1.330703492685973,0.3342672227340299,0.3128100705018066,0.35292270676416354,0.6470772932358365,1X,0.6606703222781215,,1.5136142282762193,,missing,,,0.2344349424,HIGH,0.37524,False
2026-04-05,2026-04-05,F1,metz,nantes,1.5846576051940935,1.4250686657079494,0.42650540010411636,0.2165702393445426,0.356924360551341,0.643075639448659,1X,0.6489145192278875,,1.541035021361292,,missing,,,0.2252630016,HIGH,0.34272,False
2026-04-05,2026-04-05,D2,braunschweig,nurnberg,1.2906152600200707,1.330703492685973,0.3342672227340299,0.3128100705018066,0.35292270676416354,0.6657327772659701,X2,0.6485943055783705,,1.5417958366259026,,missing,,,0.23006256,HIGH,0.3588,False
2026-04-05,2026-04-05T11:30:00+00:00,D2,eintracht braunschweig,1. fc nürnberg,1.2906152600200707,1.330703492685973,0.3342672227340299,0.3128100705018066,0.35292270676416354,0.6657327772659701,X2,0.6485943055783705,,1.5417958366259026,,missing,,,0.23006256,HIGH,0.3588,False
