run_date,match_date,league,home_team,away_team,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,market,model_probability,offered_odds,fair_odds,effective_odds,odds_source,implied_probability,edge,variance,variance_class,upset_frequency,recommended
2026-02-27,2026-02-28T15:00:00+00:00,E1,qpr,sheffield utd,1.4744455600937498,1.5771319383814382,0.3490677947772248,0.2573622769186827,0.39356992830409243,1X,0.6064300716959075,,1.6489947426311784,,missing,,,0.2401633276,HIGH,0.40082,False
2026-02-27,2026-02-28T17:30:00+00:00,SP1,mallorca,real sociedad,1.4731535038151347,1.299155192799819,0.4046522751858649,0.2695251212551431,0.32582260355899195,X2,0.595347724814135,,1.679690638462078,,missing,,,0.2427136704,HIGH,0.41464,False
2026-02-27,2026-02-28T12:30:00+00:00,E1,leicester,norwich,1.6901497746423277,1.5187253187802363,0.4115770959603786,0.2492965967944849,0.33912630724513665,X2,0.5884229040396216,,1.699457980195592,,missing,,,0.2438910144,HIGH,0.42184,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,charlton,wrexham,1.1106616554692974,1.372459125271479,0.2939692712716376,0.28759629248645585,0.41843443624190624,1X,0.5815655637580934,,1.7194965835631175,,missing,,,0.2440925404,HIGH,0.42314,False
2026-02-27,2026-02-28T15:00:00+00:00,RS1,železničar pančevo,vojvodina,1.213171416503526,1.4451610194705846,0.3118460584293386,0.26926993715519515,0.41888400441546614,1X,0.5811159955845338,,1.7208268359471308,,missing,,,0.2442664816,HIGH,0.42428,False
2026-02-27,2026-02-28T15:00:00+00:00,E0,newcastle,everton,1.294930467107772,0.9519119411450363,0.4253531952432594,0.3192579830465367,0.25538882171020394,X2,0.5746468047567406,2.1,1.740199356756747,2.1,market,0.47619047619047616,0.0984563285662644,0.2468796604,HIGH,0.44414,False
2026-02-27,2026-02-28T12:30:00+00:00,E0,bournemouth,sunderland,1.500596495164971,1.0946334516991028,0.4478276842692437,0.2928053731202185,0.25936694261053783,X2,0.5521723157307563,2.0,1.8110288609391423,2.0,market,0.5,0.05217231573075631,0.24890439,HIGH,0.4669,False
2026-02-27,2026-02-28T12:00:00+00:00,RS1,novi pazar,tsc backa topola,1.7836060328052101,1.462612783653334,0.44785388904626067,0.23882458029525172,0.3133215306584877,X2,0.5521461109537394,,1.8111148121149823,,missing,,,0.2477646016,HIGH,0.45272,False
2026-02-27,2026-02-28T15:30:00+00:00,N1,heerenveen,sparta rotterdam,1.6550239763646555,1.298993726963759,0.4572438301943586,0.24150603917842828,0.3012501306272131,X2,0.5427561698056413,,1.8424479639873936,,missing,,,0.2482577724,HIGH,0.45826,False
2026-02-27,2026-02-28T15:30:00+00:00,P1,avs,estrela,1.0763027865799109,1.4795016245351356,0.2784598673988784,0.2546013406994385,0.46693879190168325,1X,0.5330612080983169,,1.8759571786652345,,missing,,,0.2485269756,HIGH,0.46162,False
2026-02-27,2026-02-28T20:05:00+00:00,F1,le havre,paris saint germain,1.4329888026002409,0.9535433342517559,0.4911402316400951,0.24801035318630543,0.2608494151735994,X2,0.5088597683599048,,1.9651779570294563,,missing,,,0.2496958464,HIGH,0.48256,False
2026-02-27,2026-02-28T18:00:00+00:00,RO1,farul constanta,cfr 1907 cluj,1.0875046980574476,1.594223886700258,0.2629689917253216,0.24315929151343527,0.4938717167612432,1X,0.5061282832387569,,1.975783676029557,,missing,,,0.2498905884,HIGH,0.48954,False
2026-02-27,2026-02-28T17:30:00+00:00,D1,borussia dortmund,bayern münchen,1.593277820340758,2.1329771798075563,0.2853079312375425,0.21981214892906717,0.49487991983339047,1X,0.5051200801666097,,1.9797272752850337,,missing,,,0.2499999424,HIGH,0.49976,False
2026-02-27,2026-02-28T14:30:00+00:00,D1,werder bremen,1. fc heidenheim,1.5091310788451966,0.9332594554872665,0.49872314046520294,0.27516407673423854,0.2261127828005586,X2,0.5012768595347972,,1.9949055715997657,,missing,,,0.24993916000000002,HIGH,0.5078,False
2026-02-27,2026-02-28T19:00:00+00:00,SA1,al-qadisiyah fc,al taawon,1.5743377762783446,0.8854854998694555,0.5208701062211896,0.2813184188926692,0.1978114748861412,X2,0.4791298937788104,,2.0871166942082904,,missing,,,0.24872836439999998,HIGH,0.53566,False
2026-02-27,2026-02-28T19:00:00+00:00,SA1,neom,al kholood,1.559105145805,0.8652630746846216,0.5221252149818412,0.28308893994560014,0.19478584507255883,X2,0.47787478501815894,,2.092598377966313,,missing,,,0.2485847356,HIGH,0.53762,False
2026-02-27,2026-02-28T12:30:00+00:00,E1,derby,blackburn,1.5493229566103437,0.8111610592158763,0.5386218748242837,0.27400282856463104,0.18737529661108532,X2,0.46137812517571636,,2.1674196183860017,,missing,,,0.24748999000000002,HIGH,0.5501,False
2026-02-27,2026-02-28T15:00:00+00:00,E0,burnley,brentford,1.146201706991499,1.9458257390626672,0.20735681599546452,0.24901313640653924,0.5436300475979962,1X,0.45636995240200373,2.05,2.1912047336524196,2.05,market,0.48780487804878053,-0.0314349256467768,0.246519,HIGH,0.559,False
