league,team,h_for,h_against,a_for,a_against,n_home,n_away
sp2,almeria,4.461538461538462,4.0,4.166666666666667,5.0,13,12
sp2,andorra,4.625,1.75,4.333333333333333,5.666666666666667,8,6
sp2,burgos cf,3.4166666666666665,4.5,2.1818181818181817,5.363636363636363,12,11
sp2,cadiz cf,4.9,3.5,2.8333333333333335,5.166666666666667,10,12
sp2,castellon,3.9,3.5,5.363636363636363,4.2727272727272725,10,11
sp2,ceuta,4.333333333333333,4.5,3.125,4.5,6,8
sp2,cordoba,8.181818181818182,2.5454545454545454,6.166666666666667,4.083333333333333,11,12
sp2,cultural leonesa,3.5714285714285716,3.7142857142857144,2.4285714285714284,4.428571428571429,7,7
sp2,dep. la coruna,5.166666666666667,3.9166666666666665,4.636363636363637,4.090909090909091,12,11
sp2,eibar,5.0,3.0,3.1818181818181817,6.090909090909091,12,11
sp2,elche,7.25,3.25,2.2,4.6,4,5
sp2,eldense,6.5,3.5,5.8,3.2,4,5
sp2,fc cartagena sad,3.2,5.8,1.75,8.5,5,4
sp2,gijon,4.6,5.0,3.1818181818181817,5.454545454545454,10,11
sp2,granada cf,5.181818181818182,3.6363636363636362,3.5454545454545454,5.0,11,11
sp2,huesca,4.5,4.666666666666667,3.6363636363636362,3.3636363636363638,12,11
sp2,las palmas,4.5,3.125,3.6666666666666665,3.5,8,6
sp2,leganes,4.857142857142857,3.857142857142857,2.5714285714285716,3.857142857142857,7,7
sp2,levante,4.2,5.4,3.5,6.75,5,4
sp2,malaga,5.0,4.75,3.4545454545454546,5.2727272727272725,12,11
sp2,mirandes,4.428571428571429,3.5714285714285716,3.8461538461538463,5.0,14,13
sp2,oviedo,4.666666666666667,3.6666666666666665,3.0,5.714285714285714,6,7
sp2,racing club ferrol,3.0,5.0,4.0,5.0,4,5
sp2,racing santander,6.0,4.25,4.846153846153846,3.8461538461538463,12,13
sp2,real sociedad b,4.428571428571429,3.5714285714285716,3.0,6.166666666666667,7,6
sp2,tenerife,5.25,1.5,6.2,4.2,4,5
